instance;ltime;;maxscore;minscore;avgscore;;maxcpu;mincpu;avgcpu;;nshift;nswap;nldr;nsdr
Set2b_E-n51-k5-s2-4-17-46.dat;0.078125;;557.308;538.981;544.676;;12.4531;8.32812;10.5352;;0;0;0;0
Set2b_E-n51-k5-s6-12-32-37.dat;0.046875;;561.141;538.824;547.767;;13.1562;8.34375;10.1602;;0;0;0;0
Set3_E-n22-k4-s13-14.dat;0.03125;;526.148;526.148;526.148;;0.484375;0.3125;0.378906;;0;0;0;0
Set3_E-n22-k4-s13-16.dat;0.015625;;522.54;521.093;521.816;;0.5;0.40625;0.4375;;0;0;0;0
Set3_E-n22-k4-s17-19.dat;0.03125;;512.805;512.805;512.805;;0.53125;0.34375;0.460938;;0;0;0;0
Set3_E-n51-k5-s39-41.dat;0.0625;;745.721;736.633;740.271;;17.2344;9.29688;12.1289;;0;0;0;0
Set3_E-n51-k5-s40-41.dat;0.0625;;734.749;729.94;732.438;;20.4219;12.2656;14.6328;;0;0;0;0
Set3_E-n51-k5-s40-42.dat;0.0625;;772.965;746.314;754.749;;16.7188;9.82812;13.082;;0;0;0;0
Set3_E-n51-k5-s40-43.dat;0.0625;;759.293;752.15;755.341;;17;9.53125;12.8438;;0;0;0;0
Set3_E-n51-k5-s41-42.dat;0.0625;;775.636;772.965;774.493;;22.5625;16.2344;19.0781;;0;0;0;0
Set3_E-n51-k5-s41-44.dat;0.0625;;810.519;807.045;809.362;;20.7344;9.6875;12.8281;;0;0;0;0
Set4a_Instance50-14.dat;0.09375;;140709;139364;140373;;41.9844;16.75;25.2227;;0;0;0;0
Set4a_Instance50-26.dat;0.046875;;126045;116747;119072;;25.1719;14.9375;21.3672;;0;0;0;0
Set4b_Instance50-14.dat;0.0625;;140722;140294;140612;;41.8594;17.5;30.1836;;0;0;0;0
